day,week,hour,minute,request,maxReq20minutes,minReq20minutes,meanReq20minutes
1,6,19,40,471,978,651,781.5
1,6,19,45,735,780,471,654.75
1,6,19,50,699,780,471,659.25
1,6,19,55,609,735,471,639
1,6,20,0,603,735,471,628.5
1,6,20,5,555,735,603,661.5
1,6,20,10,912,699,555,616.5
1,6,20,15,900,912,555,669.75
1,6,20,20,732,912,555,742.5
1,6,20,25,675,912,555,774.75
1,6,20,30,756,912,675,804.75
1,6,20,35,651,900,675,765.75
1,6,20,40,705,756,651,703.5
1,6,20,45,903,756,651,696.75
1,6,20,50,726,903,651,753.75
1,6,20,55,756,903,651,746.25
1,6,21,0,1080,903,705,772.5
1,6,21,5,861,1080,726,866.25
1,6,21,10,816,1080,726,855.75
1,6,21,15,1101,1080,756,878.25
1,6,21,20,906,1101,816,964.5
1,6,21,25,810,1101,816,921
1,6,21,30,810,1101,810,908.25
1,6,21,35,813,1101,810,906.75
1,6,21,40,897,906,810,834.75
1,6,21,45,741,897,810,832.5
1,6,21,50,699,897,741,815.25
1,6,21,55,972,897,699,787.5
1,6,22,0,933,972,699,827.25
1,6,22,5,639,972,699,836.25
1,6,22,10,1065,972,639,810.75
1,6,22,15,897,1065,639,902.25
1,6,22,20,786,1065,639,883.5
1,6,22,25,798,1065,639,846.75
1,6,22,30,789,1065,786,886.5
1,6,22,35,678,897,786,817.5
1,6,22,40,807,798,678,762.75
1,6,22,45,750,807,678,768
1,6,22,50,855,807,678,756
1,6,22,55,837,855,678,772.5
1,6,23,0,696,855,750,812.25
1,6,23,5,705,855,696,784.5
1,6,23,10,651,855,696,773.25
1,6,23,15,987,837,651,722.25
1,6,23,20,831,987,651,759.75
1,6,23,25,885,987,651,793.5
1,6,23,30,717,987,651,838.5
1,6,23,35,780,987,717,855
1,6,23,40,858,885,717,803.25
1,6,23,45,435,885,717,810
1,6,23,50,567,858,435,697.5
1,6,23,55,447,858,435,660
2,7,0,0,729,858,435,576.75
2,7,0,5,762,729,435,544.5
2,7,0,10,363,762,447,626.25
2,7,0,15,525,762,363,575.25
2,7,0,20,846,762,363,594.75
2,7,0,25,876,846,363,624
2,7,0,30,834,876,363,652.5
2,7,0,35,804,876,525,770.25
2,7,0,40,759,876,804,840
2,7,0,45,663,876,759,818.25
2,7,0,50,672,834,663,765
2,7,0,55,741,804,663,724.5
2,7,1,0,714,759,663,708.75
2,7,1,5,369,741,663,697.5
2,7,1,10,531,741,369,624
2,7,1,15,729,741,369,588.75
2,7,1,20,708,729,369,585.75
2,7,1,25,666,729,369,584.25
2,7,1,30,675,729,531,658.5
2,7,1,35,597,729,666,694.5
2,7,1,40,609,708,597,661.5
2,7,1,45,678,675,597,636.75
2,7,1,50,687,678,597,639.75
2,7,1,55,747,687,597,642.75
2,7,2,0,735,747,609,680.25
2,7,2,5,720,747,678,711.75
2,7,2,10,483,747,687,722.25
2,7,2,15,531,747,483,671.25
2,7,2,20,468,735,483,617.25
2,7,2,25,756,720,468,550.5
2,7,2,30,585,756,468,559.5
2,7,2,35,339,756,468,585
2,7,2,40,390,756,339,537
2,7,2,45,372,756,339,517.5
2,7,2,50,480,585,339,421.5
2,7,2,55,309,480,339,395.25
2,7,3,0,408,480,309,387.75
2,7,3,5,456,480,309,392.25
2,7,3,10,258,480,309,413.25
2,7,3,15,243,456,258,357.75
2,7,3,20,330,456,243,341.25
2,7,3,25,333,456,243,321.75
2,7,3,30,489,333,243,291
2,7,3,35,438,489,243,348.75
2,7,3,40,408,489,330,397.5
2,7,3,45,324,489,333,417
2,7,3,50,417,489,324,414.75
2,7,3,55,411,438,324,396.75
2,7,4,0,348,417,324,390
2,7,4,5,213,417,324,375
2,7,4,10,411,417,213,347.25
2,7,4,15,258,411,213,345.75
2,7,4,20,252,411,213,307.5
2,7,4,25,441,411,213,283.5
2,7,4,30,240,441,252,340.5
2,7,4,35,441,441,240,297.75
2,7,4,40,414,441,240,343.5
2,7,4,45,369,441,240,384
2,7,4,50,297,441,240,366
2,7,4,55,174,441,297,380.25
2,7,5,0,309,414,174,313.5
2,7,5,5,354,369,174,287.25
2,7,5,10,228,354,174,283.5
2,7,5,15,408,354,174,266.25
2,7,5,20,315,408,228,324.75
2,7,5,25,414,408,228,326.25
2,7,5,30,204,414,228,341.25
2,7,5,35,357,414,204,335.25
2,7,5,40,336,414,204,322.5
2,7,5,45,351,414,204,327.75
2,7,5,50,261,357,204,312
2,7,5,55,336,357,261,326.25
2,7,6,0,426,351,261,321
2,7,6,5,411,426,261,343.5
2,7,6,10,285,426,261,358.5
2,7,6,15,435,426,285,364.5
2,7,6,20,348,435,285,389.25
2,7,6,25,243,435,285,369.75
2,7,6,30,393,435,243,327.75
2,7,6,35,384,435,243,354.75
2,7,6,40,195,393,243,342
2,7,6,45,198,393,195,303.75
2,7,6,50,258,393,195,292.5
2,7,6,55,303,384,195,258.75
2,7,7,0,306,303,195,238.5
2,7,7,5,444,306,198,266.25
2,7,7,10,354,444,258,327.75
2,7,7,15,510,444,303,351.75
2,7,7,20,156,510,306,403.5
2,7,7,25,231,510,156,366
2,7,7,30,222,510,156,312.75
2,7,7,35,207,510,156,279.75
2,7,7,40,255,231,156,204
2,7,7,45,294,255,207,228.75
2,7,7,50,366,294,207,244.5
2,7,7,55,342,366,207,280.5
2,7,8,0,294,366,255,314.25
2,7,8,5,276,366,294,324
2,7,8,10,231,366,276,319.5
2,7,8,15,468,342,231,285.75
2,7,8,20,444,468,231,317.25
2,7,8,25,312,468,231,354.75
2,7,8,30,465,468,231,363.75
2,7,8,35,324,468,312,422.25
2,7,8,40,267,465,312,386.25
2,7,8,45,378,465,267,342
2,7,8,50,441,465,267,358.5
2,7,8,55,396,441,267,352.5
2,7,9,0,357,441,267,370.5
2,7,9,5,486,441,357,393
2,7,9,10,411,486,357,420
2,7,9,15,303,486,357,412.5
2,7,9,20,495,486,303,389.25
2,7,9,25,375,495,303,423.75
2,7,9,30,543,495,303,396
2,7,9,35,486,543,303,429
2,7,9,40,639,543,375,474.75
2,7,9,45,471,639,375,510.75
2,7,9,50,561,639,471,534.75
2,7,9,55,558,639,471,539.25
2,7,10,0,465,639,471,557.25
2,7,10,5,378,561,465,513.75
2,7,10,10,507,561,378,490.5
2,7,10,15,453,558,378,477
2,7,10,20,564,507,378,450.75
2,7,10,25,666,564,378,475.5
2,7,10,30,429,666,453,547.5
2,7,10,35,636,666,429,528
2,7,10,40,477,666,429,573.75
2,7,10,45,606,666,429,552
2,7,10,50,579,636,429,537
2,7,10,55,612,636,477,574.5
2,7,11,0,453,612,477,568.5
2,7,11,5,516,612,453,562.5
2,7,11,10,606,612,453,540
2,7,11,15,537,612,453,546.75
2,7,11,20,561,606,453,528
2,7,11,25,573,606,516,555
2,7,11,30,558,606,537,569.25
2,7,11,35,474,573,537,557.25
2,7,11,40,741,573,474,541.5
2,7,11,45,819,741,474,586.5
2,7,11,50,543,819,474,648
2,7,11,55,969,819,474,644.25
2,7,12,0,1050,969,543,768
2,7,12,5,762,1050,543,845.25
2,7,12,10,861,1050,543,831
2,7,12,15,762,1050,762,910.5
2,7,12,20,501,1050,762,858.75
2,7,12,25,552,861,501,721.5
2,7,12,30,825,861,501,669
2,7,12,35,801,825,501,660
2,7,12,40,843,825,501,669.75
2,7,12,45,759,843,552,755.25
2,7,12,50,888,843,759,807
2,7,12,55,714,888,759,822.75
2,7,13,0,618,888,714,801
2,7,13,5,564,888,618,744.75
2,7,13,10,513,888,564,696
2,7,13,15,1032,714,513,602.25
2,7,13,20,786,1032,513,681.75
2,7,13,25,600,1032,513,723.75
2,7,13,30,873,1032,513,732.75
2,7,13,35,705,1032,600,822.75
2,7,13,40,555,873,600,741
2,7,13,45,915,873,555,683.25
2,7,13,50,690,915,555,762
2,7,13,55,894,915,555,716.25
2,7,14,0,732,915,555,763.5
2,7,14,5,909,915,690,807.75
2,7,14,10,822,909,690,806.25
2,7,14,15,816,909,732,839.25
2,7,14,20,639,909,732,819.75
2,7,14,25,648,909,639,796.5
2,7,14,30,750,822,639,731.25
2,7,14,35,924,816,639,713.25
2,7,14,40,852,924,639,740.25
2,7,14,45,846,924,648,793.5
2,7,14,50,615,924,750,843
2,7,14,55,636,924,615,809.25
2,7,15,0,609,852,615,737.25
2,7,15,5,843,846,609,676.5
2,7,15,10,834,843,609,675.75
2,7,15,15,522,843,609,730.5
2,7,15,20,846,843,522,702
2,7,15,25,729,846,522,761.25
2,7,15,30,540,846,522,732.75
2,7,15,35,744,846,522,659.25
2,7,15,40,579,846,540,714.75
2,7,15,45,513,744,540,648
2,7,15,50,816,744,513,594
2,7,15,55,639,816,513,663
2,7,16,0,549,816,513,636.75
2,7,16,5,807,816,513,629.25
2,7,16,10,624,816,549,702.75
2,7,16,15,816,807,549,654.75
2,7,16,20,741,816,549,699
2,7,16,25,873,816,624,747
2,7,16,30,798,873,624,763.5
2,7,16,35,819,873,741,807
2,7,16,40,831,873,741,807.75
2,7,16,45,693,873,798,830.25
2,7,16,50,795,831,693,785.25
2,7,16,55,1119,831,693,784.5
2,7,17,0,1170,1119,693,859.5
2,7,17,5,1080,1170,693,944.25
2,7,17,10,888,1170,795,1041
2,7,17,15,1011,1170,888,1064.25
2,7,17,20,768,1170,888,1037.25
2,7,17,25,873,1080,768,936.75
2,7,17,30,861,1011,768,885
2,7,17,35,630,1011,768,878.25
2,7,17,40,762,873,630,783
2,7,17,45,873,873,630,781.5
2,7,17,50,939,873,630,781.5
2,7,17,55,756,939,630,801
2,7,18,0,828,939,756,832.5
2,7,18,5,894,939,756,849
2,7,18,10,624,939,756,854.25
2,7,18,15,678,894,624,775.5
2,7,18,20,966,894,624,756
2,7,18,25,1011,966,624,790.5
2,7,18,30,864,1011,624,819.75
2,7,18,35,723,1011,678,879.75
2,7,18,40,816,1011,723,891
2,7,18,45,741,1011,723,853.5
2,7,18,50,765,864,723,786
2,7,18,55,648,816,723,761.25
2,7,19,0,831,816,648,742.5
2,7,19,5,1014,831,648,746.25
2,7,19,10,606,1014,648,814.5
2,7,19,15,549,1014,606,774.75
2,7,19,20,507,1014,549,750
2,7,19,25,690,1014,507,669
2,7,19,30,702,690,507,588
2,7,19,35,729,702,507,612
2,7,19,40,711,729,507,657
2,7,19,45,651,729,690,708
2,7,19,50,702,729,651,698.25
2,7,19,55,678,729,651,698.25
2,7,20,0,993,711,651,685.5
2,7,20,5,864,993,651,756
2,7,20,10,594,993,678,809.25
2,7,20,15,648,993,594,782.25
2,7,20,20,714,993,594,774.75
2,7,20,25,804,864,594,705
2,7,20,30,678,804,594,690
2,7,20,35,825,804,648,711
2,7,20,40,618,825,678,755.25
2,7,20,45,636,825,618,731.25
2,7,20,50,798,825,618,689.25
2,7,20,55,711,825,618,719.25
2,7,21,0,822,798,618,690.75
2,7,21,5,969,822,636,741.75
2,7,21,10,810,969,711,825
2,7,21,15,756,969,711,828
2,7,21,20,609,969,756,839.25
2,7,21,25,762,969,609,786
2,7,21,30,1035,810,609,734.25
2,7,21,35,903,1035,609,790.5
2,7,21,40,966,1035,609,827.25
2,7,21,45,1065,1035,762,916.5
2,7,21,50,675,1065,903,992.25
2,7,21,55,771,1065,675,902.25
2,7,22,0,957,1065,675,869.25
2,7,22,5,726,1065,675,867
2,7,22,10,651,957,675,782.25
2,7,22,15,957,957,651,776.25
2,7,22,20,939,957,651,822.75
2,7,22,25,780,957,651,818.25
2,7,22,30,870,957,651,831.75
2,7,22,35,948,957,780,886.5
2,7,22,40,1008,948,780,884.25
2,7,22,45,1212,1008,780,901.5
2,7,22,50,960,1212,870,1009.5
2,7,22,55,1182,1212,948,1032
2,7,23,0,1302,1212,960,1090.5
2,7,23,5,1014,1302,960,1164
2,7,23,10,1170,1302,960,1114.5
2,7,23,15,930,1302,1014,1167
2,7,23,20,936,1302,930,1104
2,7,23,25,1068,1170,930,1012.5
2,7,23,30,729,1170,930,1026
2,7,23,35,843,1068,729,915.75
2,7,23,40,969,1068,729,894
2,7,23,45,711,1068,729,902.25
2,7,23,50,816,969,711,813
2,7,23,55,654,969,711,834.75
3,1,0,0,597,969,654,787.5
3,1,0,5,753,816,597,694.5
3,1,0,10,711,816,597,705
3,1,0,15,939,753,597,678.75
3,1,0,20,888,939,597,750
3,1,0,25,831,939,711,822.75
3,1,0,30,921,939,711,842.25
3,1,0,35,624,939,831,894.75
3,1,0,40,615,921,624,816
3,1,0,45,633,921,615,747.75
3,1,0,50,633,921,615,698.25
3,1,0,55,903,633,615,626.25
3,1,1,0,612,903,615,696
3,1,1,5,423,903,612,695.25
3,1,1,10,699,903,423,642.75
3,1,1,15,636,903,423,659.25
3,1,1,20,702,699,423,592.5
3,1,1,25,597,702,423,615
3,1,1,30,639,702,597,658.5
3,1,1,35,636,702,597,643.5
3,1,1,40,654,702,597,643.5
3,1,1,45,492,654,597,631.5
3,1,1,50,369,654,492,605.25
3,1,1,55,726,654,369,537.75
3,1,2,0,675,726,369,560.25
3,1,2,5,465,726,369,565.5
3,1,2,10,594,726,369,558.75
3,1,2,15,849,726,465,615
3,1,2,20,468,849,465,645.75
3,1,2,25,420,849,465,594
3,1,2,30,288,849,420,582.75
3,1,2,35,609,849,288,506.25
3,1,2,40,576,609,288,446.25
3,1,2,45,504,609,288,473.25
3,1,2,50,525,609,288,494.25
3,1,2,55,642,609,504,553.5
3,1,3,0,417,642,504,561.75
3,1,3,5,333,642,417,522
3,1,3,10,534,642,333,479.25
3,1,3,15,438,642,333,481.5
3,1,3,20,495,534,333,430.5
3,1,3,25,426,534,333,450
3,1,3,30,420,534,426,473.25
3,1,3,35,678,495,420,444.75
3,1,3,40,636,678,420,504.75
3,1,3,45,576,678,420,540
3,1,3,50,537,678,420,577.5
3,1,3,55,633,678,537,606.75
3,1,4,0,492,636,537,595.5
3,1,4,5,396,633,492,559.5
3,1,4,10,399,633,396,514.5
3,1,4,15,432,633,396,480
3,1,4,20,471,492,396,429.75
3,1,4,25,339,471,396,424.5
3,1,4,30,357,471,339,410.25
3,1,4,35,255,471,339,399.75
3,1,4,40,279,471,255,355.5
3,1,4,45,237,357,255,307.5
3,1,4,50,543,357,237,282
3,1,4,55,417,543,237,328.5
3,1,5,0,393,543,237,369
3,1,5,5,318,543,237,397.5
3,1,5,10,477,543,318,417.75
3,1,5,15,354,477,318,401.25
3,1,5,20,321,477,318,385.5
3,1,5,25,489,477,318,367.5
3,1,5,30,453,489,321,410.25
3,1,5,35,414,489,321,404.25
3,1,5,40,504,489,321,419.25
3,1,5,45,468,504,414,465
3,1,5,50,594,504,414,459.75
3,1,5,55,465,594,414,495
3,1,6,0,465,594,465,507.75
3,1,6,5,333,594,465,498
3,1,6,10,534,594,333,464.25
3,1,6,15,291,534,333,449.25
3,1,6,20,360,534,291,405.75
3,1,6,25,453,534,291,379.5
3,1,6,30,525,534,291,409.5
3,1,6,35,372,525,291,407.25
3,1,6,40,315,525,360,427.5
3,1,6,45,309,525,315,416.25
3,1,6,50,615,525,309,380.25
3,1,6,55,537,615,309,402.75
3,1,7,0,708,615,309,444
3,1,7,5,624,708,309,542.25
3,1,7,10,714,708,537,621
3,1,7,15,669,714,537,645.75
3,1,7,20,675,714,624,678.75
3,1,7,25,642,714,624,670.5
3,1,7,30,768,714,642,675
3,1,7,35,789,768,642,688.5
3,1,7,40,822,789,642,718.5
3,1,7,45,828,822,642,755.25
3,1,7,50,675,828,768,801.75
3,1,7,55,672,828,675,778.5
3,1,8,0,855,828,672,749.25
3,1,8,5,951,855,672,757.5
3,1,8,10,891,951,672,788.25
3,1,8,15,450,951,672,842.25
3,1,8,20,897,951,450,786.75
3,1,8,25,948,951,450,797.25
3,1,8,30,996,948,450,796.5
3,1,8,35,1044,996,450,822.75
3,1,8,40,843,1044,897,971.25
3,1,8,45,894,1044,843,957.75
3,1,8,50,1101,1044,843,944.25
3,1,8,55,1146,1101,843,970.5
3,1,9,0,1038,1146,843,996
3,1,9,5,1095,1146,894,1044.75
3,1,9,10,1029,1146,1038,1095
3,1,9,15,765,1146,1029,1077
3,1,9,20,1104,1095,765,981.75
3,1,9,25,1215,1104,765,998.25
3,1,9,30,1449,1215,765,1028.25
3,1,9,35,1509,1449,765,1133.25
3,1,9,40,1107,1509,1104,1319.25
3,1,9,45,1521,1509,1107,1320
3,1,9,50,1362,1521,1107,1396.5
3,1,9,55,1236,1521,1107,1374.75
3,1,10,0,969,1521,1107,1306.5
3,1,10,5,900,1521,969,1272
3,1,10,10,1236,1362,900,1116.75
3,1,10,15,1374,1236,900,1085.25
3,1,10,20,1452,1374,900,1119.75
3,1,10,25,1146,1452,900,1240.5
3,1,10,30,1056,1452,1146,1302
3,1,10,35,1122,1452,1056,1257
3,1,10,40,711,1452,1056,1194
3,1,10,45,1098,1146,711,1008.75
3,1,10,50,1248,1122,711,996.75
3,1,10,55,1275,1248,711,1044.75
3,1,11,0,1170,1275,711,1083
3,1,11,5,1281,1275,1098,1197.75
3,1,11,10,1200,1281,1170,1243.5
3,1,11,15,1515,1281,1170,1231.5
3,1,11,20,1242,1515,1170,1291.5
3,1,11,25,1110,1515,1200,1309.5
3,1,11,30,1245,1515,1110,1266.75
3,1,11,35,1326,1515,1110,1278
3,1,11,40,939,1326,1110,1230.75
3,1,11,45,1068,1326,939,1155
3,1,11,50,1005,1326,939,1144.5
3,1,11,55,1272,1326,939,1084.5
3,1,12,0,1098,1272,939,1071
3,1,12,5,1257,1272,1005,1110.75
3,1,12,10,1005,1272,1005,1158
3,1,12,15,1284,1272,1005,1158
3,1,12,20,1443,1284,1005,1161
3,1,12,25,1545,1443,1005,1247.25
3,1,12,30,1548,1545,1005,1319.25
3,1,12,35,1302,1548,1284,1455
3,1,12,40,1254,1548,1302,1459.5
3,1,12,45,1308,1548,1254,1412.25
3,1,12,50,1722,1548,1254,1353
3,1,12,55,1839,1722,1254,1396.5
3,1,13,0,1611,1839,1254,1530.75
3,1,13,5,1395,1839,1308,1620
3,1,13,10,1329,1839,1395,1641.75
3,1,13,15,1323,1839,1329,1543.5
3,1,13,20,1401,1611,1323,1414.5
3,1,13,25,1602,1401,1323,1362
3,1,13,30,1404,1602,1323,1413.75
3,1,13,35,1731,1602,1323,1432.5
3,1,13,40,1443,1731,1401,1534.5
3,1,13,45,1575,1731,1404,1545
3,1,13,50,1518,1731,1404,1538.25
3,1,13,55,1728,1731,1443,1566.75
3,1,14,0,1533,1728,1443,1566
3,1,14,5,1404,1728,1518,1588.5
3,1,14,10,1599,1728,1404,1545.75
3,1,14,15,1530,1728,1404,1566
3,1,14,20,1827,1599,1404,1516.5
3,1,14,25,1290,1827,1404,1590
3,1,14,30,1086,1827,1290,1561.5
3,1,14,35,1122,1827,1086,1433.25
3,1,14,40,873,1827,1086,1331.25
3,1,14,45,1248,1290,873,1092.75
3,1,14,50,1179,1248,873,1082.25
3,1,14,55,1854,1248,873,1105.5
3,1,15,0,1557,1854,873,1288.5
3,1,15,5,1602,1854,1179,1459.5
3,1,15,10,966,1854,1179,1548
3,1,15,15,1320,1854,966,1494.75
3,1,15,20,1203,1602,966,1361.25
3,1,15,25,1110,1602,966,1272.75
3,1,15,30,1074,1320,966,1149.75
3,1,15,35,1632,1320,1074,1176.75
3,1,15,40,1440,1632,1074,1254.75
3,1,15,45,1989,1632,1074,1314
3,1,15,50,1425,1989,1074,1533.75
3,1,15,55,1512,1989,1425,1621.5
3,1,16,0,1368,1989,1425,1591.5
